z,mu,sigma_mu
0.50309,42.28445,0.12605
0.4948,42.230199999999996,0.11765
0.67767,43.3877,0.2056
0.8665,43.69685,0.17385
0.79857,43.710499999999996,0.17435
0.37144,41.63785,0.1245
0.35582,41.40915,0.12645
0.2836,40.759150000000005,0.1028
0.4664,42.56635,0.1587
0.94688,43.76155,0.1642
0.69315,43.14645,0.24445
0.89693,43.752750000000006,0.16645
0.78904,43.5688,0.11585
0.59027,42.6854,0.1666
0.21075,39.99495,0.10525
0.85852,43.4737,0.1478
0.55875,42.5148,0.1335
0.9964,44.04965,0.1408
0.58294,42.69385,0.1258
0.79656,43.20445,0.1588
0.91348,43.72895,0.13735
0.94846,44.01675,0.15105
0.73362,43.1981,0.15575
0.7656,43.45805,0.1549
0.98341,44.178,0.153
0.70064,43.099199999999996,0.1738
0.83814,43.5045,0.1807
0.3706,41.4901,0.1211
0.35858,41.309650000000005,0.1186
0.52278,42.509150000000005,0.14165
0.70198,43.0615,0.26255
0.74613,43.1556,0.16465
0.59185,42.5929,0.12625
0.62063,42.8614,0.1131
1.00279,44.4298,0.19135
0.61064,42.82615,0.1329
0.35833,41.3194,0.11425
0.45155,41.7659,0.12515
0.5526,42.33515,0.13425
0.75068,43.113,0.19155
0.82269,43.6856,0.14625
0.95076,44.03515,0.14485
0.34052,41.2963,0.10555
0.81072,43.429500000000004,0.17055
0.61124,43.089200000000005,0.1593
0.54831,42.2426,0.1438
1.02879,44.078900000000004,0.16015
0.42244,41.70675,0.1192
0.70115,43.258750000000006,0.1805
0.68517,43.194,0.2326
0.93189,43.89795,0.15235
0.74909,43.16055,0.18275
0.4684,42.08255,0.11785
0.95886,44.15665,0.17245
0.84053,43.57255,0.1456
0.56276,42.5928,0.11755
0.82854,43.74785,0.1526
0.57875,42.57495,0.12065
0.8645,43.719300000000004,0.14625
0.85851,43.794200000000004,0.16535
0.58575,42.9194,0.1417
0.48881,42.2153,0.1136
0.68866,42.9632,0.1518
0.32454,41.14365,0.10225
0.18538,39.805800000000005,0.10405
0.68196,42.94755,0.1484
0.92223,43.705,0.1708
0.42866,42.101,0.1294
0.69998,43.30255,0.2153
0.57584,42.73495,0.13845
0.51176,42.46305,0.1165
0.64191,42.97155,0.1659
0.35157,41.577200000000005,0.1136
0.34957,41.49445,0.11065
0.35527,41.586650000000006,0.113
0.87217,43.690200000000004,0.1332
0.92624,44.118700000000004,0.10935
0.41957,41.94095,0.12095
0.89073,43.5304,0.14085
0.48057,42.12520000000001,0.1151
0.5806,42.71785,0.1608
0.80569,43.445750000000004,0.1555
0.66464,42.9837,0.1611
0.74566,43.35735,0.1527
0.73669,43.12845,0.1399
0.37053,41.39575000000001,0.11295
0.85073,43.66865,0.1304
0.21946,40.1969,0.1023
0.64764,42.9759,0.1613
0.6006,42.7522,0.15455
0.7607,43.27525,0.14995
0.47057,42.153999999999996,0.1221
0.49737,42.2775,0.13225
0.50736,42.3205,0.1253
0.58728,42.79375,0.14055
0.69915,43.12905000000001,0.15635
0.76108,43.40415,0.16035
0.78805,43.456900000000005,0.13815
0.40547,41.914,0.11045
0.80804,43.90735,0.16345
0.58328,42.9581,0.12955
0.72013,43.372600000000006,0.19335
0.83699,43.6554,0.1427
0.80603,43.6044,0.1837
0.50074,42.4005,0.13595
0.53378,42.2845,0.1665
0.82212,43.5176,0.18525
0.12531,38.8184,0.10355
0.44368,41.92415,0.1349
0.68366,43.2941,0.2905
0.72668,43.25005,0.1628
0.40455,41.79625,0.1075
0.69065,43.1027,0.18375
0.57661,42.5937,0.1229
0.72068,43.22645,0.2029
0.55031,42.518150000000006,0.1249
0.84797,43.6605,0.16975
0.43544,41.716750000000005,0.109
0.30158,40.992450000000005,0.0939
0.58073,42.87355,0.1372
0.34593,41.46525,0.111
0.33094,41.13290000000001,0.10685
0.44956,42.13895,0.14135
0.29172,40.82215,0.12535
0.46127,41.97945,0.13775
0.63222,43.01065,0.20445
0.26862,40.5262,0.0993
0.92491,44.0916,0.1923
0.62522,42.81015,0.1303
0.60825,42.7267,0.1266
0.57828,42.5873,0.13895
0.71963,43.175250000000005,0.2057
0.7666,43.59705,0.1593
0.36791,41.59455,0.1019
0.84852,43.68175,0.14855
0.7766,43.4442,0.17835
0.58375,42.6186,0.09915
0.58873,42.650850000000005,0.13005
0.76859,43.5578,0.16885
0.5138,42.477450000000005,0.1329
0.63771,42.72,0.2329
0.43487,41.9123,0.1145
0.58375,42.813550000000006,0.14025
0.66206,43.09875,0.17955
0.62189,42.7608,0.1628
0.41664,41.8654,0.11755
0.45169,41.71265,0.1377
0.73401,43.39855,0.24055
0.74202,43.612750000000005,0.21515
0.34957,41.09,0.12
0.51476,42.53845,0.1355
0.64364,42.95755,0.1943
0.47058,42.00205,0.12925
0.26349,40.50515,0.1079
0.7427,43.27255,0.19885
0.91075,43.961600000000004,0.16365
0.33753,41.2637,0.10655
0.98377,44.27305,0.1439
0.81369,43.616749999999996,0.14105
0.81773,43.6931,0.12085
0.96075,43.9236,0.1577
0.75669,43.38965,0.1583
0.87796,43.77165,0.14325
0.80902,43.557950000000005,0.1668
0.62723,42.763400000000004,0.138
0.93389,44.115300000000005,0.2009
0.69715,43.13265,0.16195
0.76706,43.734899999999996,0.17855
0.86397,43.74625,0.15285
0.51434,42.337450000000004,0.11725
0.47039,42.450500000000005,0.141
0.9279,44.1289,0.1829
0.63071,42.7592,0.1432
0.6157,42.916250000000005,0.1433
0.56475,42.6391,0.13595
0.55775,42.5994,0.1349
0.73561,43.419250000000005,0.19205
0.26199,40.50835,0.1082
0.76159,43.32575,0.15445
0.85852,43.89425,0.17845
0.55875,42.956100000000006,0.15165
0.48072,42.098349999999996,0.1138
0.92224,43.92175,0.18725
0.47572,42.0452,0.109
0.8932,43.9281,0.1577
0.6319,42.511700000000005,0.17705
0.73602,43.37845,0.2108
0.41865,41.73625,0.1152
0.53578,42.33355,0.1266
0.73501,43.44175,0.17825
0.60987,42.8947,0.14865
0.70198,43.1887,0.16475
0.9833,44.13095,0.143
0.75905,43.4057,0.15165
0.64364,42.9545,0.2013
0.51559,42.37365,0.1762
0.80569,43.3639,0.1301
0.8007,43.17255,0.1606
0.71565,43.19395,0.19425
0.76668,43.5807,0.1806
0.90173,43.8628,0.1511
0.71868,43.03915000000001,0.15095
0.5796,42.5279,0.1197
0.96074,44.15925,0.14255
0.64864,42.88665,0.159
0.93675,43.8217,0.1405
0.46156,42.11265,0.11115
0.67065,43.13495,0.1775
0.24649,40.51055,0.10805
0.63822,42.840050000000005,0.184
0.53532,42.41945,0.11085
0.77307,43.52605,0.17625
0.3705,41.50255,0.1043
0.69916,43.23895,0.1728
0.3735,41.46185,0.1039
0.85298,43.6552,0.1508
0.60326,42.938050000000004,0.1429
0.53433,42.2723,0.1289
0.40048,41.6101,0.1151
0.3715,41.55135,0.10745
0.83999,43.3753,0.15175
0.53278,42.409000000000006,0.11385
0.93225,44.054,0.21015
0.55381,42.6338,0.1242
0.84214,43.676100000000005,0.1858
0.72767,43.2187,0.19785
0.44255,42.022850000000005,0.1137
0.28251,40.9246,0.1073
