u,g,r,i,z,redshift
21.62983,21.98876,21.04943,19.93906,19.17808,0.859018
22.88334,21.53452,19.62278,18.91462,18.48158,0.4182161
26.49967,24.87605,22.14463,20.44383,19.47936,0.7249785
19.14868,17.75976,16.88184,16.40138,16.04989,0.08341331
25.08648,22.43489,22.4695,20.19162,19.29297,0.4655308
22.70639,21.61799,19.87142,19.04157,18.60549,0.446822
26.02915,23.10771,21.19041,20.19319,19.63966,0.5020403
19.2468,17.40371,16.37675,15.91971,15.5553,0.1351003
23.56488,20.95903,19.11746,18.37934,17.98592,0.425164
24.03304,22.4207,20.71708,19.73387,19.11408,0.4915724
22.21777,20.35271,19.02954,18.50294,18.08986,0.1827142
22.34012,22.03411,21.07709,19.9096,19.67106,0.7339134
17.81661,16.86976,16.53884,16.19576,16.08668,0.07277206
23.98407,22.87586,20.98058,19.84581,19.44941,0.7065533
21.05829,18.93913,17.65446,17.11477,16.72478,0.1602119
22.12567,21.4219,20.43525,19.64009,19.25849,0.5048032
22.45882,22.59752,20.75354,19.84827,19.28332,0.5222368
19.63902,17.70278,16.75971,16.31807,16.00097,0.1047586
20.86178,20.72445,20.49611,20.35727,20.15846,0.7662979
18.99579,17.84767,17.41374,17.21564,17.0409,0.03594115
23.00808,21.73048,20.39829,19.50148,19.06412,0.5968496
23.76435,22.10803,20.39083,19.43677,18.89482,0.495328
20.357,18.13789,16.94952,16.41857,15.99974,0.13617
21.13529,19.14179,17.90847,17.38075,16.99253,0.1696374
24.01601,21.49918,19.65333,19.00508,18.7248,0.3220871
21.3063,19.48057,18.08123,17.51187,17.11085,0.2360673
25.59852,22.1001,20.734,19.87671,19.48395,0.5057719
20.52631,18.59811,17.63379,17.19586,16.8038,0.1063906
22.58935,21.96582,20.43052,19.57128,19.29285,0.5417354
19.55634,18.02719,17.18931,16.89634,16.71333,0.2158133
24.58019,20.60474,18.98383,18.92474,22.82658,0.07438198
19.07068,17.82891,17.22108,16.86427,16.63586,0.1168613
20.92939,18.51675,17.1587,16.64246,16.23504,0.1685506
20.3381,18.57937,17.68758,17.27777,16.9587,0.07277419
24.36466,23.51515,20.64113,19.54487,18.94656,0.6043289
18.41275,16.41211,15.39821,14.88834,14.50716,0.06612448
18.54732,17.45159,16.97853,16.64967,16.4966,0.05823163
19.25625,17.18024,16.06401,15.60862,15.22456,0.1224884
24.96957,21.65351,19.86486,18.99365,18.5352,0.4719779
22.26109,23.84254,21.55035,20.05554,19.34628,0.6775313
19.14455,18.24567,17.76194,17.37677,17.40249,0.07250893
19.83699,18.59277,17.77787,17.34097,17.02734,0.1378882
23.12897,21.66299,20.43476,19.80605,19.47007,0.2687375
25.22962,22.02407,20.40972,19.50211,18.97591,0.5005111
22.41442,21.92676,20.30728,19.42111,18.86772,0.5373566
22.29147,19.08313,17.46027,16.85997,16.46144,0.3008811
20.40546,18.86302,17.5429,16.96569,16.54022,0.2108453
21.63937,20.47736,19.96518,19.26629,19.09925,0.08112783
23.43509,21.39673,19.67368,18.8923,18.40677,0.437746
20.4386,18.35083,17.12656,16.62139,16.2441,0.1652647
19.89237,18.57446,17.73863,17.2626,16.92421,0.152978
19.64653,17.76246,16.81127,16.35822,16.03629,0.1064522
20.76025,18.6469,17.66177,17.247,16.89311,0.1020122
22.51434,19.30406,17.77114,17.23857,16.87481,0.2630797
21.71554,19.57651,18.03895,17.5104,17.16813,0.2613815
22.79144,22.39899,20.66102,19.75126,19.21852,0.5575433
19.38853,17.67984,16.85282,16.44194,16.12658,0.06401734
19.20849,17.7398,16.88828,16.4864,16.17032,0.1072668
20.57721,18.60331,17.58051,17.15952,16.76744,0.1242138
20.92794,19.78006,18.91119,18.56629,18.26939,0.2672658
19.42164,17.97906,17.23171,16.84944,16.56407,0.09179686
23.03168,23.2106,21.38886,20.27658,19.84045,0.5632229
20.20056,18.26893,17.18741,16.70919,16.39137,0.1505248
22.65451,21.60033,20.57157,19.72731,19.23701,0.567069
22.55796,22.40504,20.58557,19.49952,18.95911,0.5489793
19.87001,17.90517,16.93169,16.49078,16.11882,0.09331674
22.3092,22.013,21.95285,21.99253,21.70576,0.9255035
19.18577,18.00513,17.63232,17.33785,17.21149,0.07647134
20.26027,18.28248,17.34311,16.91733,16.57376,0.08428302
17.50796,15.86984,15.13024,14.75347,14.4774,0.02895827
19.39541,17.3649,16.27467,15.73435,15.32291,0.0778772
25.48994,22.15184,20.3029,19.42365,18.94107,0.5113469
21.13345,20.53955,19.6405,19.4524,19.2165,0.317708
22.63747,21.89533,20.75168,19.49045,18.81414,0.6800922
21.12385,19.36044,17.89835,17.35837,16.99774,0.2731616
21.81584,21.70106,21.46836,21.4164,22.57272,0.01533972
22.21259,21.19081,20.72015,19.72401,19.41151,0.1596193
19.47824,18.28514,17.54713,17.13289,16.86502,0.1621697
18.97089,17.63996,16.88006,16.44113,16.17152,0.1606576
19.88667,18.04897,17.2093,16.81571,16.5044,0.05253008
26.27179,22.50757,20.95283,20.10129,19.6025,0.5716243
22.96243,22.35576,20.68645,19.68022,19.21983,0.5306728
19.26677,18.16813,17.80857,17.51017,17.42209,0.06894143
17.97657,16.4535,15.71211,15.31671,15.00458,0.04702791
24.01229,22.35834,20.72154,19.70251,19.41581,0.5629466
20.25021,18.15434,17.12872,16.68585,16.31807,0.1305501
27.65219,21.71958,20.11121,18.97594,18.27995,0.5846833
20.54356,18.78204,17.62811,17.04341,16.66484,0.1489446
24.39234,23.61608,21.28397,20.11043,19.69923,0.5673512
23.8687,22.3136,21.61989,20.16913,19.86174,0.7697648
19.28395,17.34927,16.46821,16.06713,15.76421,0.07592352
18.37519,16.2956,15.33285,14.85617,14.49351,0.02783617
21.61384,21.11452,20.31808,19.46436,19.34415,0.6838267
22.18848,22.29929,21.20057,19.6585,19.08531,0.7574086
19.58236,18.16424,17.61038,17.29964,17.05062,0.07967152
25.27542,21.06925,19.28058,18.57194,18.16888,0.3011687
24.63609,22.30995,20.97274,19.89654,19.40849,0.5351464
22.71428,22.0072,20.15091,19.16046,18.70397,0.5419294
18.9487,18.06031,17.6497,17.43219,17.30771,0.0235806
23.40783,23.19246,20.91706,19.89569,19.25903,0.5595118
18.17915,16.95059,16.34499,15.92679,15.72616,0.07850926
23.3524,22.89122,21.37449,20.27931,19.63397,0.6195953
22.77928,22.54375,20.73975,19.6144,19.04826,0.5381031
18.82215,17.78672,17.26291,16.88925,16.68503,0.1063798
20.17376,18.29117,17.22979,16.76032,16.35075,0.1182997
22.50948,20.43818,18.67403,18.03815,17.57851,0.3642415
19.89047,18.28827,17.50035,17.22814,16.95867,0.04257753
20.83887,18.84694,17.77775,17.25413,16.89036,0.1772547
20.53559,18.27308,17.07608,16.57043,16.19427,0.1466523
19.23595,18.00301,17.55998,17.28092,17.17517,0.08275779
19.93694,18.37053,17.31381,16.85765,16.50855,0.1769731
18.97285,17.4531,16.65532,16.2455,15.9763,0.08236475
19.9042,17.87559,16.88584,16.43191,16.06501,0.1006792
23.61703,23.26384,21.62474,20.3684,19.72578,0.6889471
22.25819,21.13992,20.14368,19.38781,19.01592,0.5964609
21.368,18.95167,18.0284,17.61255,17.27497,0.1118439
25.91835,22.01141,20.34533,19.3702,19.08768,0.5121254
23.38586,21.49483,20.04852,19.04187,18.45699,0.5215362
24.26334,22.4563,21.03476,20.10658,19.84506,0.4817612
20.71588,18.09968,26.27825,25.72778,24.42436,0.1508046
25.96736,22.08325,20.36611,19.56567,19.11847,0.5485751
22.53754,22.05606,20.60671,19.695,19.22592,0.4447733
23.07293,22.53386,21.44228,20.419,19.65638,0.7012784
20.52072,18.43552,17.40654,16.95961,16.58029,0.1267255
